Track Name,Blinding Lights,Dance Monkey,The Box,Roses - Imanbek Remix,Don't Start Now,ROCKSTAR (feat. Roddy Ricch),Watermelon Sugar,death bed (coffee for your head),Falling,Someone You Loved,Tusa,ROXANNE,Circles,Blueberry Faygo,Intentions (feat. Quavo),Toosie Slide,Before You Go,Say So,Memories,Life Is Good (feat. Drake),Savage Love (Laxed - Siren Beat),Adore You,Breaking Me,Mood (feat. iann dior),everything i wanted,Señorita,bad guy,WAP (feat. Megan Thee Stallion),Sunday Best,Godzilla (feat. Juice WRLD),Yummy,Break My Heart,Dynamite,Supalonely (feat. Gus Dapperton),ily (i love you baby) (feat. Emilee),Rain On Me (with Ariana Grande),HIGHEST IN THE ROOM,Sunflower - Spider-Man: Into the Spider-Verse,Hawái,Ride It,goosebumps,RITMO (Bad Boys For Life),THE SCOTTS,Safaera,lovely (with Khalid),Lucid Dreams,Stuck with U (with Justin Bieber),If the World Was Ending - feat. Julia Michaels,Physical,SICKO MODE
Tusa,-4.620242259226871,-3.063471577382512,-5.581635132012586,-3.7999096823813066,-3.5443979990898944,-3.5180285166269356,-3.677487604295486,-5.903976747302661,-4.944952153530946,-4.515199656728875,-0.0,-3.8302403681914194,-2.664071844116705,-3.629132100269095,-4.109979000926427,-3.568259559019949,-4.306366624432731,-3.20500795451443,-4.962751631740472,-3.297504668869816,-4.264884159848508,-3.117891536279213,-2.5190445180301104,-3.6542359727364517,-9.887053790758857,-3.729455911638188,-4.623858048307329,-3.43547685968247,-3.391674196037363,-3.9927736540418963,-3.900970018748336,-2.7968883431217324,-2.598451842669228,-3.2703315019617767,-4.51020175774259,-3.8998488612481794,-5.279947859480809,-3.4142878523313405,-3.447274475421367,-3.2049378860814475,-3.3061692145412374,-5.599505118068957,-3.857913389389801,-3.615728389159898,-6.767522156117394,-4.3043386673443385,-5.405518007865982,-5.16569623017381,-3.55353958314283,-4.53554449443811
ROXANNE,-3.819847599580824,-3.769410042782439,-3.506166740959576,-2.958613382754959,-3.432200131367477,-3.2353310465411083,-2.7836509799231415,-3.7581066540615535,-3.5722229253526634,-4.127179925289875,-3.8302403681914194,-0.0,-3.6433331515994483,-3.283734522602124,-4.04891759218125,-4.851670182888142,-4.009441473616193,-4.054012326595959,-4.820143501985597,-4.611238794524401,-3.4751575225076303,-3.1327555089358583,-2.8474496417590167,-2.8019582839041473,-9.598521403147036,-3.208128521664234,-4.453540738799801,-4.422648869702181,-3.4624188801793467,-4.130105674877827,-3.1425500015327095,-2.5550474070363633,-3.1405037197353876,-3.987327300419594,-2.228509414193621,-2.624024349775805,-3.522680153657595,-4.22285885541921,-4.548882567670047,-3.7906777753655567,-3.8412765823958805,-3.2581597262824133,-3.055863146463566,-5.3883489901216075,-5.749049358082389,-3.3689066065684714,-3.5927067447638756,-5.141173961211985,-3.866351198788554,-5.544687685966875
Circles,-3.04428847773511,-3.3778278923806018,-5.485575619794921,-3.4207505376830167,-3.4240677285568117,-4.091697229667797,-2.4888056951843,-5.921726072451483,-4.781762915877077,-3.8472033450809304,-2.664071844116705,-3.6433331515994483,-0.0,-3.1607040182908173,-3.784197321906878,-4.130654566585705,-3.423663067332408,-3.599742910368889,-5.30860458161585,-4.600079569271535,-3.700839270219969,-2.442524329453974,-3.3263652171824867,-3.46588120004125,-9.84152919247557,-3.342176249084508,-5.488303996353172,-4.637604090385488,-3.4513827083733615,-4.702078763461261,-3.52827549678389,-2.0091434569483204,-2.1830275868208915,-2.9446123223655905,-4.250134145629053,-3.1389567552316966,-4.962841411661571,-3.4996886384435433,-4.278203401414185,-3.3915008522323933,-2.5670618256499163,-5.238218190154834,-3.0833605096937395,-4.133002199084865,-6.213914786453257,-4.305092983448023,-4.45797329821132,-5.055025034853665,-1.8128997155960982,-4.436935217490945
Blueberry Faygo,-4.083279953192902,-3.125072752570644,-5.1436631841235805,-3.9804311646457724,-4.247865155459792,-3.4621870035842033,-3.3681974949073017,-4.906066036102902,-3.147941785012169,-3.44428723699228,-3.629132100269095,-3.283734522602124,-3.1607040182908173,-0.0,-4.311289997077238,-3.8784856104835725,-3.8163380294353817,-4.712314627626783,-4.373809278645928,-4.958205257882524,-2.9901072221977496,-3.746840131735309,-3.509321327031168,-3.6721283170396593,-8.909186252257316,-3.443471965053378,-4.583189353962774,-3.6978547433719835,-2.4171603385951403,-5.683356620776771,-3.6552427656225985,-3.433755123187588,-3.5478089918492346,-4.041309184218607,-3.8564501248529264,-4.314413381995558,-3.129678821293996,-3.42996223118443,-5.4304379514177015,-3.9413449442606883,-4.094290975304329,-5.324977481038136,-1.383754116102804,-5.9446360068668325,-5.210082532924622,-4.11737207779654,-4.924148945089614,-4.311565739232567,-4.04319204781514,-6.1457022890687325
Intentions (feat. Quavo),-4.527057386283747,-3.103683716334687,-4.431678601899438,-2.4933169865853975,-2.740935784643696,-3.449568232834496,-4.970663167309635,-4.9006072633015325,-3.7538992250790497,-4.686397160332438,-4.109979000926427,-4.04891759218125,-3.7841973219068783,-4.311289997077239,-0.0,-3.9412337940356608,-4.9973545610700825,-2.3388380629597,-3.796524888040165,-4.628813513377159,-3.1246448911186744,-3.452744483917665,-2.7393579711501173,-3.9030014399270483,-9.100036697460418,-1.8862957569777412,-4.157589644970428,-4.665829808485891,-2.670738727401268,-3.203303204944161,-2.1074676547667375,-3.6740352583603033,-2.7592932865699433,-1.4779476043674686,-4.134974851497103,-3.533235989112891,-5.439775742077681,-3.6988271352309057,-4.050192834157376,-2.812656104054054,-3.189055174067429,-4.689683030677499,-4.127867543546737,-5.550859708225409,-6.354577466109167,-5.133137069822685,-3.190438902999964,-5.4480511391031134,-3.856870119876706,-4.398291731677242
Toosie Slide,-5.803463634235335,-3.22482865532596,-5.467024392508593,-4.3742364335046915,-4.917957083867635,-4.053291076482496,-4.956025698894205,-5.932180230336923,-5.204331108545662,-4.806114804106916,-3.568259559019949,-4.851670182888142,-4.130654566585705,-3.8784856104835725,-3.9412337940356608,-0.0,-5.251545521515164,-3.7468000354357702,-4.49925212267345,-3.947918709255208,-3.879384018949616,-4.467848381364203,-4.1142014645256015,-4.963598507054723,-8.824050338163055,-3.8687720349601116,-4.190881798251653,-4.091512410899197,-3.594521608312321,-5.124047376903048,-4.3185690590076975,-4.182163956873697,-3.8898942368267937,-3.5426308084845424,-5.359946787293983,-5.359802967144539,-5.268668292593305,-3.756921628916165,-5.615051575423725,-4.480102699314874,-4.543088425763992,-5.425089608104779,-4.437937063714845,-4.3166680498245045,-6.4121051696013955,-4.42527825531804,-5.469891115609089,-4.121479298061385,-4.993019538098302,-5.282624498340594
Before You Go,-3.636348575989809,-3.664042332780848,-6.43368197757007,-5.347078389398679,-5.070078202811457,-4.366161721516113,-3.7531946818364945,-5.171687816819678,-4.560726834387225,-2.148694651163353,-4.306366624432731,-4.009441473616193,-3.423663067332408,-3.8163380294353817,-4.9973545610700825,-5.251545521515164,-0.0,-4.80626396846603,-4.476214897732144,-5.564134857386127,-4.907835556564429,-3.9107745364615667,-4.61963789813698,-4.715417922729927,-8.876840925775001,-4.590746960499445,-5.276009229755069,-5.618552590905942,-4.866875015809495,-6.088189505299582,-3.4156499487485616,-3.6226840755987704,-4.448034696225178,-4.832760916510592,-4.457641104159,-4.668004180371747,-3.84632685685057,-4.661606193298952,-5.505259624118699,-5.5288412848151625,-4.329977340565308,-6.033290912249025,-3.3895432123572196,-5.365046114633175,-3.3453480467732697,-2.8679766313330113,-4.389087451594029,-3.6255154230619104,-4.541189806352402,-5.697243228399292
Say So,-5.083258676357827,-2.879879720188449,-4.597189501892996,-2.7675979290079984,-2.247359940981779,-2.745973637428926,-4.678161272868485,-5.617691172724055,-4.431572049227777,-5.1063580784098646,-3.20500795451443,-4.054012326595959,-3.599742910368889,-4.712314627626783,-2.3388380629597,-3.7468000354357702,-4.8062639684660295,-0.0,-4.002079829302202,-4.362999173096819,-4.614389656112376,-2.40970747118565,-2.5081374078841567,-3.6316689674003446,-9.558827753227947,-2.3216369806301818,-4.59271587925186,-4.883350775421338,-3.4161914925249866,-3.150130057096975,-2.832817299098352,-3.056273641083199,-2.204107660953047,-1.8158771025050247,-3.8260441490440047,-3.1169546401720862,-5.325802147992368,-3.9697499982247084,-4.038025487677818,-2.912034003306181,-2.5652749957575502,-4.464001506509106,-4.853785303475581,-4.149052852345236,-6.824851777952558,-4.371344877629988,-4.295971601866855,-5.518569313099048,-4.150722694995038,-3.589625120534434
Memories,-6.371926566085071,-2.56880182268687,-5.448179381244386,-4.815345512889875,-4.7838965794895145,-3.482837010387646,-5.829497079297391,-4.527772079241873,-3.720269135919326,-3.7167220385845736,-4.962751631740472,-4.820143501985597,-5.30860458161585,-4.373809278645928,-3.796524888040165,-4.49925212267345,-4.476214897732144,-4.002079829302202,-0.0,-6.1476934615203715,-4.8395791850838465,-4.709602307327515,-4.206104306447305,-4.5139097483791035,-8.271543888835872,-3.711957730969589,-4.582786369348564,-5.595993297649421,-3.660980562161133,-5.821199807096629,-3.349914691253107,-4.93703902782799,-4.831102135602514,-4.036831948153466,-4.832101115750454,-5.352702547718277,-4.432436652391175,-3.7644777435212977,-6.2234206275994675,-4.708733107221207,-5.025715999575893,-5.802629343707946,-4.629841102441654,-6.9641007700677156,-4.698488374446625,-4.5752039453719515,-5.022687190082398,-4.121764664258825,-6.2675427130386705,-6.549419627463555
Life Is Good (feat. Drake),-4.874535526501283,-4.683391594096425,-5.956349758583527,-5.063469599247055,-5.004585090539076,-4.732836634007861,-5.554843772557693,-5.8629791421923425,-5.421970139710795,-5.840772525201857,-3.297504668869816,-4.611238794524401,-4.600079569271535,-4.958205257882525,-4.628813513377158,-3.947918709255208,-5.564134857386127,-4.362999173096819,-6.1476934615203715,-0.0,-4.420205530875628,-5.0451247460920765,-3.8861868859077737,-5.913030262987904,-9.54507420210595,-4.863724977055804,-3.487647549488152,-2.4967052379343335,-4.786382426016994,-3.4988765123436343,-4.264285052076359,-4.337834374018731,-4.345645779713405,-4.532493406316294,-5.310552863551984,-5.418665511209727,-6.060526451810361,-5.6420955661756,-3.0313660515512493,-5.135476196564923,-4.495310623131488,-6.019530067550095,-4.65723107742773,-3.774917156636799,-7.1380851418463465,-4.746906122941906,-5.003875513531548,-6.018476519400856,-4.905193365024601,-4.051859053931661
Savage Love (Laxed - Siren Beat),-3.925034348466148,-3.772152219112948,-4.622958529707492,-3.375941080469746,-4.381469340866878,-4.438792510329085,-4.173998015576892,-4.304011309839682,-3.9890980151010216,-4.022888715266824,-4.264884159848507,-3.4751575225076303,-3.700839270219969,-2.9901072221977496,-3.1246448911186744,-3.8793840189496165,-4.907835556564429,-4.614389656112376,-4.8395791850838465,-4.420205530875628,-0.0,-4.572190126244471,-3.5031534477467043,-4.179208816228144,-9.013833325472593,-3.3589373557239703,-4.040184659384491,-3.8316647462546114,-2.6743374276786356,-4.427392004328175,-3.305878514953349,-3.9078162889757073,-3.7106739794666486,-3.4448750653473676,-4.543957289820806,-4.38075986736167,-5.065905644696741,-3.5607084401087086,-4.644612488181186,-3.7411497976816706,-4.476028804332486,-4.966965736901466,-2.5735957699828713,-6.108334981455174,-5.855514918407658,-5.145687179453995,-3.6222370068561025,-4.880329410609338,-3.598654556533029,-5.897304024958651
Adore You,-3.9766946860168417,-3.353436549090855,-4.785928128890318,-2.5582263362815842,-1.8851056872041132,-2.6818326544350195,-2.977752609746051,-5.876416867338682,-4.079423968735395,-4.568730467641272,-3.117891536279213,-3.1327555089358583,-2.442524329453974,-3.746840131735309,-3.452744483917665,-4.4678483813642025,-3.9107745364615667,-2.40970747118565,-4.709602307327515,-5.0451247460920765,-4.572190126244471,-0.0,-2.6245846292425914,-2.5531558177751155,-9.989802039888387,-2.2777404297764585,-5.341569572913174,-5.116296641081558,-3.295659080493469,-4.282086058226579,-3.1572370480585477,-2.1452724673784114,-1.3946991729994447,-2.775069896092355,-2.954754483439672,-1.8897108614094338,-4.249018795545119,-3.8326940008273414,-4.546532773620206,-2.8672353523208636,-2.281280710674547,-4.332125247451435,-3.9593316365007096,-4.299260442763523,-6.503153649883227,-3.912880771897077,-4.480382053755782,-5.443441789259191,-3.0822431148388647,-4.372431016739209
Breaking Me,-4.285514425699671,-2.880965912460029,-4.394684481174516,-2.1818526504168148,-1.8514997605009695,-2.118481746317088,-3.8043077274926014,-4.8353879780096465,-3.524983068884849,-4.6294282162214335,-2.5190445180301104,-2.8474496417590167,-3.3263652171824867,-3.509321327031168,-2.7393579711501173,-4.1142014645256015,-4.61963789813698,-2.5081374078841567,-4.206104306447305,-3.8861868859077737,-3.5031534477467043,-2.6245846292425914,-0.0,-2.615120726981416,-9.601288229962444,-2.316460782611986,-3.827358248912419,-3.7197509020598507,-2.314916944729988,-2.799791572407474,-2.72607599042383,-2.9767073633825647,-1.9156979229161097,-2.5788872906000138,-2.978765726720557,-2.6125876875152345,-4.736236077457726,-3.3695034240853556,-3.167500008043166,-1.869253586110687,-3.192505311560836,-4.512267340367842,-3.561151798877936,-4.902173437057961,-6.520508705317548,-4.45811470377757,-4.350745838273221,-5.328015646575843,-3.4698818592768506,-4.806411432414306
Mood (feat. iann dior),-4.992488077960686,-3.5240492638976613,-4.34899529612428,-2.214914625170994,-2.7228027125078595,-3.1749501608174424,-2.786145144355011,-5.3057553122853705,-4.390658277162623,-4.423856007660634,-3.6542359727364517,-2.8019582839041473,-3.46588120004125,-3.6721283170396593,-3.9030014399270483,-4.963598507054723,-4.715417922729927,-3.6316689674003446,-4.5139097483791035,-5.913030262987904,-4.179208816228144,-2.5531558177751155,-2.615120726981416,-0.0,-10.335197672528013,-2.814517985786883,-5.653880892838602,-5.546981956093632,-2.9069189507910163,-4.733589608652806,-3.9569172477082413,-3.096190578150369,-2.503678605698045,-3.4143148771776057,-3.3375166616281886,-2.280521274684407,-4.681216468937294,-2.7504799207016535,-5.260050556773752,-2.264141083339297,-4.028764288927668,-4.214667262069138,-4.070700051075109,-5.8745711634708,-6.754141997888247,-4.838841405655162,-5.114419858203754,-5.417307739776009,-3.674024924361353,-6.323476290901041
everything i wanted,-9.800626290544846,-8.534687346199766,-10.005629535028408,-10.059964532316505,-10.150103749094527,-9.027797195050342,-10.319723784500216,-8.677212328010492,-8.639969600533348,-8.65731938782542,-9.887053790758857,-9.598521403147036,-9.841529192475567,-8.909186252257316,-9.100036697460418,-8.824050338163055,-8.876840925775001,-9.558827753227947,-8.271543888835872,-9.54507420210595,-9.013833325472593,-9.989802039888385,-9.601288229962444,-10.335197672528013,-0.0,-9.344652756689019,-7.159779328900559,-9.301882395413164,-9.220788590051008,-10.214811015233089,-8.546241286622315,-9.727405610619906,-9.977738385831525,-9.46633559730351,-9.489697856605396,-10.417329204597902,-8.78515615586661,-9.694622560776487,-10.325762825459428,-10.299281823915331,-9.75849157577896,-10.123831754491768,-8.799856572892953,-10.562914639786307,-8.01119546343657,-8.69835861705452,-8.999057716151235,-8.276511011510147,-10.513728519429739,-10.139274476513059
Señorita,-4.3156617923136595,-3.100408344825286,-4.265430627510376,-1.8797543101155059,-1.960041681682773,-2.5397403924389104,-4.075552189153953,-5.2064839680715975,-2.990195860743253,-4.416764972616653,-3.7294559116381882,-3.208128521664234,-3.342176249084508,-3.443471965053378,-1.8862957569777412,-3.8687720349601116,-4.590746960499445,-2.3216369806301818,-3.711957730969589,-4.863724977055804,-3.3589373557239703,-2.2777404297764585,-2.316460782611986,-2.814517985786883,-9.344652756689019,-0.0,-4.362402937174523,-4.5017667683385225,-1.9067581660807988,-3.900745682592798,-2.3024997055649425,-3.1625390198393366,-1.911390461974757,-1.9911483110747685,-3.2950889165747514,-2.7842939140156324,-4.199422643041432,-3.2547647527398884,-4.525228328461888,-2.351720848307092,-2.936541417147114,-4.329646601096938,-3.6019550788145676,-5.369038029208545,-6.230492037329114,-4.549074725602619,-3.7370919032062573,-5.2714103339567195,-3.60897846269081,-4.812202351900955
bad guy,-5.265665934590264,-4.26726363109382,-5.844998853075145,-5.0072588008636485,-5.056873264292124,-3.8483398478065567,-5.9520311448589895,-4.768141426984442,-4.077363298633008,-5.022341364900542,-4.623858048307329,-4.453540738799801,-5.488303996353172,-4.583189353962774,-4.157589644970427,-4.190881798251653,-5.276009229755069,-4.59271587925186,-4.582786369348564,-3.487647549488152,-4.040184659384491,-5.341569572913174,-3.827358248912419,-5.653880892838602,-7.159779328900559,-4.362402937174523,-0.0,-3.5751240859493616,-4.249382818011523,-4.339809922595879,-3.506334861309261,-5.224790043287442,-4.854683925969647,-4.792786095169553,-4.758647755509097,-5.630277326523107,-5.003158333476198,-5.280138669442604,-4.511573065376485,-5.2260476820818695,-5.415594379395852,-5.949336211293194,-4.323915147766428,-5.7752563921587665,-5.51588033766471,-4.533572897877047,-4.615356960831261,-4.799099249929674,-5.77638962026388,-5.789195645019184
