Artist,Album,Track Name,Track Id,Energy,Danceability,Key,Loudness,Acousticness,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Song Duration,Genre
Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),Before You Go,2gMXnyrvIjhVBUZwvLZDMP,-0.22448100678961727,-2.0831042417593313,-0.740795243750941,0.5880588729984997,1.3245035491609227,-0.578045862488919,-0.17096505770966988,-0.6180229652023184,-1.7399148972560647,-0.3103999483272452,0.4502121589221218,Alternative/Indie
Doja Cat,Hot Pink,Say So,3Dv1eDb0MEgF93GpLXlucZ,0.4168932983235756,0.5680605545198104,1.4380142966930034,0.7088604983458046,-0.0007837474875006226,0.2925936773213378,-0.17092682017985794,-0.6071555714115101,1.0750583608947952,-0.3469271285052265,1.1272698406779884,R&B/Soul
Maroon 5,Memories,Memories,2b8fOow8UzyDFAE27YhOZM,-1.8933631272372091,0.38215570600023624,1.4380142966930034,-0.4226337291065322,2.211836710422654,-0.6013897230399387,-0.17096505770966988,-0.6540569551402612,0.09005113457666643,-1.1395947610291477,-0.31108402576439875,Pop
Future,High Off Life,Life Is Good (feat. Drake),1K5KBOgreBi5fkEHvg5ap3,-0.23102564255607844,0.6327231105266188,-1.013146436306434,-0.29108462819452036,-0.7205518482534546,3.13708631483449,-0.17096505770966988,-0.26626258723668544,-0.08734353177446534,0.8888362653072004,1.1280126846191758,Hip-Hop/Rap
Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,-0.8396767688369648,0.40640416450278943,-1.55784882141742,-0.9862313477197593,-0.08456627773538943,-0.37919075409134295,-0.17096505770966988,0.414379444924458,0.9583513435585239,1.2077237153267268,-0.8492298905182168,Hip-Hop/Rap
Harry Styles,Fine Line,Adore You,3jjujdWJ72nww5eGnfs2E7,1.0582676034367677,-0.32913241007465516,0.6209607190265242,1.0966294167204276,-0.8854511009686178,-0.6558587309923182,-0.17089008216101906,-0.540807272478155,0.062041450415961326,-0.8204688310519846,0.21327465544098076,Pop
Topic,Breaking Me,Breaking Me,3H7ihDc1dqLriiWXwsc2po,0.7244911793472489,0.5842261935215125,0.6209607190265242,0.24671904906341005,-0.1264575428593339,0.8113461340106665,-0.17096505770966988,-0.38637588702982834,0.505528116293792,0.0930286466743997,-0.9853486143014006,Dance/Electronic
24kGoldn,Mood (feat. iann dior),Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,0.7375804508801713,-0.13514474205423085,0.34860952647103116,1.1469276023632557,-0.13407413651823288,-0.7544216977632906,-0.17096505770966988,0.43153848775204984,0.9350099400912696,-1.14078716081733,-1.7658696001858518,Pop rap
Billie Eilish,everything i wanted,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,-2.515103525051018,-0.10281346405082667,0.07625833391553812,-3.537252147758577,2.459376004336872,-0.21405455537857324,6.866025722801791,-0.5179285487080325,-1.459818055649014,0.0125416609721009,1.3511035770365833,Pop
Shawn Mendes,Shawn Mendes (Deluxe),Señorita,6v3KW9xbzN5yKLt9YKDYA2,-0.4011861724840676,0.341741608495981,0.8933119115820172,0.0760491370958652,-0.8264225001121506,-0.822724104560719,-0.17096505770966988,-0.6506251465747428,0.9023319752371137,-0.10824843757075613,-0.2720401482155877,Pop
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,2Fxmhks0bxGSBdJ92vM42m,-1.206176371758789,-0.1270619225533798,0.34860952647103116,-2.037334457948089,0.27341362423286286,2.1687483956810767,1.2214379886624607,-0.5522466343632162,0.0293634855618059,0.6135906475351418,-0.17434131307061757, Electro-pop
Cardi B,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,-1.0163819345314156,1.7643178406457647,-1.285497628861927,-0.5516034358830146,-0.9018267773352505,2.1687483956810767,-0.17096505770966988,-0.652913018951755,-0.9276340565956177,0.5319112620446619,-0.3688772843887804,Hip-Hop/Trap
